# created by LinkChecker at 2024-08-19 15:11:01-005
# Read the documentation at https://linkchecker.github.io/linkchecker/
# Write comments and bugs to https://github.com/linkchecker/linkchecker/issues
urlname;parentname;base;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
https://opensciencegrid.org/;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/index.md;;200 OK;Redirected to `https://osg-htc.org/' status: 301 Moved Permanently.;;True;https://osg-htc.org/;37;462;;-1;-1;1.9401979446411133;0;2;
https://secure2.compliancebridge.com/uab/public/index.php?fuseaction=print.preview&docID=786;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/policies.md;;200 OK;Redirected to `https://secure4.compliancebridge.com/uab/public/index.php?fuseaction=print.preview&docID=786' status: 301 Moved Permanently.;;True;https://secure4.compliancebridge.com/uab/public/index.php?fuseaction=print.preview&docID=786;17;24;;-1;2627;2.278170108795166;0;2;
../software/modules.md/#best-practice-for-loading-modules;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/slurm/gpu.md;;URLError: <urlopen error [Errno 20] Not a directory: '/Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/software/modules.md/'>;;;False;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/software/modules.md/#best-practice-for-loading-modules;117;229;;-1;-1;0.00017786026000976562;0;3;
../cheaha/open_ondemand/ood_layout.md/#interactive-apps;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/getting_started.md;;URLError: <urlopen error [Errno 20] Not a directory: '/Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/open_ondemand/ood_layout.md/'>;;;False;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/open_ondemand/ood_layout.md/#interactive-apps;85;41;;-1;-1;6.890296936035156e-05;0;3;
../cheaha/slurm/submitting_jobs.md/#interactive-jobs-with-srun;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/getting_started.md;;URLError: <urlopen error [Errno 20] Not a directory: '/Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/slurm/submitting_jobs.md/'>;;;False;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/slurm/submitting_jobs.md/#interactive-jobs-with-srun;86;39;;-1;-1;6.699562072753906e-05;0;3;
https://rc.uab.edu;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/cheaha/getting_started.md;;200 200;"Redirected to `https://rc.uab.edu/pun/sys/dashboard' status: 302 Found.
Redirected to `https://shib.dpo.uab.edu/idp/profile/SAML2/Redirect/SSO?SAMLRequest=fZJNb4IwGMe%2FCuldCkiCNkLC9DATN4mwHXZZSnmUJtCyPmUv334o6tzFW5P%2BX%2Fr%2FpQvkbdOxtLe12sFHD2id77ZRyE4XMemNYpqjRKZ4C8isYHn6tGGB67HOaKuFboiTIoKxUqulVti3YHIwn1LAy24Tk9raDhmlRrg9L12oeprXsix1A7Z2ETU9JgY02%2BYFcVbDE6Tix7A%2FKw56t%2Br0NUBWHR3q97KBs3sHlTQgLM3zLXHWq5i8w76EOQ%2BnoQ%2FC80Uk%2FOlwLmdR5AseRuEgQ%2BxhrdByZWMSeEE48WYTf14EHvN95k3fiJOdVz5IVUl1uI%2BkHEXIHosim4yLXsHgac0gIMniCJadis0N6vux%2FMKXJBckA4mDkdWVCF6RLuhNxdjXsechc73KdCPFj5M2jf5aGuAWYuITmoyW%2F%2F8g%2BQU%3D&RelayState=cookie%3A1724098263_2bdb' status: 302 Found.
Redirected to `https://shib.dpo.uab.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1' status: 302 302.
Redirected to `https://shib.dpo.uab.edu/idp/Authn/External?conversation=e1s1' status: 302 302.
Redirected to `https://padlock.idm.uab.edu/cas/login?service=https%3A%2F%2Fshib.dpo.uab.edu%2Fidp%2FAuthn%2FExternal%3Fconversation%3De1s1&entityId=https%3A%2F%2Fuabgrid.uab.edu%2Fshibboleth' status: 302 302.";;True;https://padlock.idm.uab.edu/cas/login?service=https%3A%2F%2Fshib.dpo.uab.edu%2Fidp%2FAuthn%2FExternal%3Fconversation%3De1s1&entityId=https%3A%2F%2Fuabgrid.uab.edu%2Fshibboleth;19;135;;-1;-1;1.8300278186798096;0;3;
https://gatk.broadinstitute.org/hc/en-us/community/posts/360072269012--tmp-dir-option-user-error;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/data_management/storage.md;;403 Forbidden;;;False;https://gatk.broadinstitute.org/hc/en-us/community/posts/360072269012--tmp-dir-option-user-error;241;14;;-1;-1;0.8947830200195312;0;3;
https://secure2.compliancebridge.com/uab/portal/getdoc.php?file=302;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/data_management/storage.md;;200 OK;Redirected to `https://secure4.compliancebridge.com/uab/portal/getdoc.php?file=302' status: 302 Found.;;True;https://secure4.compliancebridge.com/uab/portal/getdoc.php?file=302;320;40;;-1;-1;0.4891798496246338;0;3;
https://github.com/tensorflow/tensorflow/blob/5bb81b7b0dd140a4304b92530614502c0c61a150/tensorflow/python/keras/utils/data_utils.py#L205;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/data_management/storage.md;;200 OK;Anchor `L205' (decoded: `L205') not found. Available anchors: `action-menu-94869707-dcae-4693-b497-16e614ad8f18-button', `action-menu-94869707-dcae-4693-b497-16e614ad8f18-list', `action-menu-94869707-dcae-4693-b497-16e614ad8f18-overlay', `actions-repo-tab-count', `actions-tab', `ajax-error-message', `book-icon', `bookmark-icon', `circle-icon', `client-env', `code-icon', `code-repo-tab-count', `code-review-icon', `code-square-icon', `code-tab', `codespaces-icon', `comment-discussion-icon', `comment-icon', `copilot-error-icon', `copilot-icon', `credit-card-icon', `custom-scopes-dialog', `custom-scopes-dialog-description', `custom-scopes-dialog-title', `custom_scope_id', `custom_scope_name', `custom_scope_query', `device-desktop-icon', `device-mobile-icon', `enterprise-available-add-ons-heading', `feedback', `feedback-dialog', `feedback-dialog-title', `file-code-icon', `fork-button', `ghcc', `gift-icon', `globe-icon', `heart-icon', `history-icon', `icon-button-de0ad479-7fe0-48e7-a289-2ccd12236660', `include_email', `insights-repo-tab-count', `insights-tab', `issue-opened-icon', `issues-repo-tab-count', `issues-tab', `item-0852c373-7351-4637-8482-588146d1df4b', `item-1b1a3a95-abd2-409f-aaa5-0996efe70a0f', `item-3929e946-7fb9-4e1a-9767-5d001ba2a462', `item-40e1c474-6f49-4398-8f3c-192e8b15308e', `item-67ecc487-cd69-4543-9658-69204e51cb24', `item-a0ff77bf-8a7b-4fbc-9fdc-eb33efc4e886', `item-d8ca920f-e4fa-4a55-8bba-2262b0eec098', `js-flash-container', `js-global-screen-reader-notice', `js-global-screen-reader-notice-assertive', `js-repo-pjax-container', `open-source-repositories-heading', `organization-icon', `package-icon', `pencil-icon', `play-icon', `plus-circle-icon', `product-explore-heading', `project-icon', `projects-repo-tab-count', `projects-tab', `pull-requests-repo-tab-count', `pull-requests-tab', `query-builder-query-builder-test', `query-builder-test', `query-builder-test-clear', `query-builder-test-clear-button', `query-builder-test-label', `query-builder-test-leadingvisual-wrap', `query-builder-test-results', `repo-content-pjax-container', `repo-content-turbo-frame', `repo-icon', `repo-network-counter', `repo-stars-counter-star', `repository-container-header', `repository-details-container', `repository-details-watch-button', `resources-explore-heading', `resources-topics-heading', `responsive-meta-container', `rocket-icon', `search-icon', `search-suggestions-dialog', `search-suggestions-dialog-header', `security-tab', `server-icon', `shield-check-icon', `site-details-dialog', `snippet-clipboard-copy-button', `snippet-clipboard-copy-button-unpositioned', `solutions-by-industry-heading', `solutions-by-size-heading', `solutions-by-use-case-heading', `sr-footer-heading', `start-of-content', `team-icon', `tooltip-85dc271d-b652-40c1-ba77-ded57635272d', `tooltip-9e4d7a36-d73f-45a8-ba26-ad8791e6b29b', `tooltip-e8df3470-8417-41e3-b03a-4ee498eebfdc', `trash-icon', `validation-dfb6fdfb-04b9-4ea9-a618-a339ff4b534d', `workflow-icon'.;;True;https://github.com/tensorflow/tensorflow/blob/5bb81b7b0dd140a4304b92530614502c0c61a150/tensorflow/python/keras/utils/data_utils.py#L205;248;10;;0.08239102363586426;235217;1.1155107021331787;0;3;
https://secure2.compliancebridge.com/uab/portal/getdoc.php?file=301;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/data_management/storage.md;;200 OK;Redirected to `https://secure4.compliancebridge.com/uab/portal/getdoc.php?file=301' status: 302 Found.;;True;https://secure4.compliancebridge.com/uab/portal/getdoc.php?file=301;321;23;;-1;-1;0.8276541233062744;0;3;
https://docs.docker.com/engine/reference/builder/;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/workflow_solutions/getting_containers.md;;200 OK;"Redirected to `https://docs.docker.com/reference/dockerfile' status: 301 Moved Permanently.
Redirected to `https://docs.docker.com/reference/dockerfile/' status: 302 Moved Temporarily.";;True;https://docs.docker.com/reference/dockerfile/;196;199;;-1;-1;0.6033051013946533;0;4;
../account_management/index.md/#how-do-i-login-to-research-computing-services;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/account_management/cheaha_account.md;;URLError: <urlopen error [Errno 20] Not a directory: '/Users/birhanu/Documents/vscode/uabrc.github.io/docs/account_management/index.md/'>;;;False;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/account_management/index.md/#how-do-i-login-to-research-computing-services;85;99;;-1;-1;9.584426879882812e-05;0;4;
https://docs.docker.com/engine/reference/commandline/login/#credentials-store;file:///Users/birhanu/Documents/vscode/uabrc.github.io/docs/workflow_solutions/getting_containers.md;;200 OK;"Redirected to `https://docs.docker.com/reference/cli/docker/login/#credentials-store' status: 301 Moved Permanently.
Anchor `credentials-store' (decoded: `credentials-store') not found. Available anchors: `Layer_1', `Layer_1-2', `Layer_2', `TableOfContents', `breadcrumbs', `configure-credential-helpers', `configure-the-credential-store', `credential-helper-protocol', `credential-helpers', `credential-stores', `default-behavior', `description', `examples', `login-to-a-self-hosted-registry', `modal-search-input', `modal-search-results', `options', `password-stdin', `privileged-user-requirement', `sectiontree', `theme-switch'.";;True;https://docs.docker.com/reference/cli/docker/login/#credentials-store;336;336;;0.005998849868774414;157337;0.7245898246765137;0;4;
